Year,Field,Laureates
1971,chemistry,Gerhard Herzberg
1971,medicine,"Earl W. Sutherland, Jr."
1971,literature,Pablo Neruda
1971,peace,Willy Brandt
1971,economic-sciences,Simon Kuznets
1970,physics,Hannes Olof Gösta Alfvén
1970,physics,Louis Eugène Félix Néel
1970,chemistry,Luis F. Leloir
1970,medicine,"Sir Bernard Katz, Ulf von Euler and Julius Axelrod"
1970,literature,Aleksandr Isayevich Solzhenitsyn
1970,peace,Norman E. Borlaug
1970,economic-sciences,Paul A. Samuelson
1969,physics,Murray Gell-Mann
1969,chemistry,Derek H. R. Barton and Odd Hassel
1969,medicine,"Max Delbrück, Alfred D. Hershey and Salvador E. Luria"
1969,literature,Samuel Beckett
1969,peace,International Labour Organization (I.L.O.) 
1969,economic-sciences,Ragnar Frisch and Jan Tinbergen
1968,physics,Luis Walter Alvarez
1968,chemistry,Lars Onsager
1968,medicine,"Robert W. Holley, Har Gobind Khorana and Marshall W. Nirenberg"
1968,literature,Yasunari Kawabata
1968,peace,René Cassin
1967,physics,Hans Albrecht Bethe
1967,chemistry,"Manfred Eigen, Ronald George Wreyford Norrish and George Porter"
1967,medicine,"Ragnar Granit, Haldan Keffer Hartline and George Wald"
1967,literature,Miguel Angel Asturias
1966,physics,Alfred Kastler
1966,chemistry,Robert S. Mulliken
1966,medicine,Peyton Rous
1966,medicine,Charles Brenton Huggins
1966,literature,Shmuel Yosef Agnon
1966,literature,Nelly Sachs
1965,physics,"Sin-Itiro Tomonaga, Julian Schwinger and Richard P. Feynman"
1965,chemistry,Robert Burns Woodward
1965,medicine,"François Jacob, André Lwoff and Jacques Monod"
1965,literature,Mikhail Aleksandrovich Sholokhov
1965,peace,United Nations Children's Fund (UNICEF) 
1964,physics,"Charles Hard Townes, Nicolay Gennadiyevich Basov and Aleksandr Mikhailovich Prokhorov"
1964,chemistry,Dorothy Crowfoot Hodgkin
1964,medicine,Konrad Bloch and Feodor Lynen
1964,literature,Jean-Paul Sartre
1964,peace,Martin Luther King Jr.
1963,physics,Eugene Paul Wigner
1963,physics,Maria Goeppert Mayer and J. Hans D. Jensen
1963,chemistry,Karl Ziegler and Giulio Natta
1963,medicine,"Sir John Carew Eccles, Alan Lloyd Hodgkin and Andrew Fielding Huxley"
1963,literature,Giorgos Seferis
1963,peace,Comité international de la Croix Rouge (International Committee of the Red Cross) 
1963,peace,Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies) 
1962,physics,Lev Davidovich Landau
1962,chemistry,Max Ferdinand Perutz and John Cowdery Kendrew
1962,medicine,"Francis Harry Compton Crick, James Dewey Watson and Maurice Hugh Frederick Wilkins"
1962,literature,John Steinbeck
1962,peace,Linus Carl Pauling
1961,physics,Robert Hofstadter
1961,physics,Rudolf Ludwig Mössbauer
1961,chemistry,Melvin Calvin
1961,medicine,Georg von Békésy
1961,literature,Ivo Andric
1961,peace,Dag Hjalmar Agne Carl Hammarskjöld
1960,physics,Donald Arthur Glaser
1960,chemistry,Willard Frank Libby
1960,medicine,Sir Frank Macfarlane Burnet and Peter Brian Medawar
1960,literature,Saint-John Perse
1960,peace,Albert John Lutuli
1959,physics,Emilio Gino Segrè and Owen Chamberlain
1959,chemistry,Jaroslav Heyrovsky
1959,medicine,Severo Ochoa and Arthur Kornberg
1959,literature,Salvatore Quasimodo
1959,peace,Philip J. Noel-Baker
1958,physics,"Pavel Alekseyevich Cherenkov, Il´ja Mikhailovich Frank and Igor Yevgenyevich Tamm"
1958,chemistry,Frederick Sanger
1958,medicine,George Wells Beadle and Edward Lawrie Tatum
1958,medicine,Joshua Lederberg
1958,literature,Boris Leonidovich Pasternak
1958,peace,Georges Pire
1957,physics,Chen Ning Yang and Tsung-Dao (T.D.) Lee
1957,chemistry,Lord (Alexander R.) Todd
1957,medicine,Daniel Bovet
1957,literature,Albert Camus
1957,peace,Lester Bowles Pearson
1956,physics,"William Bradford Shockley, John Bardeen and Walter Houser Brattain"
1956,chemistry,Sir Cyril Norman Hinshelwood and Nikolay Nikolaevich Semenov
1956,medicine,"André Frédéric Cournand, Werner Forssmann and Dickinson W. Richards"
1956,literature,Juan Ramón Jiménez
1955,physics,Willis Eugene Lamb
1955,physics,Polykarp Kusch
1955,chemistry,Vincent du Vigneaud
1955,medicine,Axel Hugo Theodor Theorell
1955,literature,Halldór Kiljan Laxness
1954,physics,Max Born
1954,physics,Walther Bothe
1954,chemistry,Linus Carl Pauling
1954,medicine,"John Franklin Enders, Thomas Huckle Weller and Frederick Chapman Robbins"
1954,literature,Ernest Miller Hemingway
1954,peace,Office of the United Nations High Commissioner for Refugees (UNHCR) 
1953,physics,Frits Zernike
1953,chemistry,Hermann Staudinger
1953,medicine,Hans Adolf Krebs
1953,medicine,Fritz Albert Lipmann
1953,literature,Sir Winston Leonard Spencer Churchill
1953,peace,George Catlett Marshall
1952,physics,Felix Bloch and Edward Mills Purcell
1952,chemistry,Archer John Porter Martin and Richard Laurence Millington Synge
1952,medicine,Selman Abraham Waksman
1952,literature,François Mauriac
1952,peace,Albert Schweitzer
1951,physics,Sir John Douglas Cockcroft and Ernest Thomas Sinton Walton
1951,chemistry,Edwin Mattison McMillan and Glenn Theodore Seaborg
1951,medicine,Max Theiler
1951,literature,Pär Fabian Lagerkvist
1951,peace,Léon Jouhaux
1950,physics,Cecil Frank Powell
1950,chemistry,Otto Paul Hermann Diels and Kurt Alder
1950,medicine,"Edward Calvin Kendall, Tadeus Reichstein and Philip Showalter Hench"
1950,literature,Earl (Bertrand Arthur William) Russell
1950,peace,Ralph Bunche
1949,physics,Hideki Yukawa
1949,chemistry,William Francis Giauque
1949,medicine,Walter Rudolf Hess
1949,medicine,Antonio Caetano de Abreu Freire Egas Moniz
1949,literature,William Faulkner
1949,peace,Lord (John) Boyd Orr of Brechin
1948,physics,Patrick Maynard Stuart Blackett
1948,chemistry,Arne Wilhelm Kaurin Tiselius
1948,medicine,Paul Hermann Müller
1948,literature,Thomas Stearns Eliot
1947,physics,Sir Edward Victor Appleton
1947,chemistry,Sir Robert Robinson
1947,medicine,"Carl Ferdinand Cori and Gerty Theresa Cori, née Radnitz"
1947,medicine,Bernardo Alberto Houssay
1947,literature,André Paul Guillaume Gide
1947,peace,Friends Service Council (The Quakers) 
1947,peace,American Friends Service Committee (The Quakers) 
1946,physics,Percy Williams Bridgman
1946,chemistry,James Batcheller Sumner
1946,chemistry,John Howard Northrop and Wendell Meredith Stanley
1946,medicine,Hermann Joseph Muller
1946,literature,Hermann Hesse
1946,peace,Emily Greene Balch
1946,peace,John Raleigh Mott
1945,physics,Wolfgang Pauli
1945,chemistry,Artturi Ilmari Virtanen
1945,medicine,"Sir Alexander Fleming, Ernst Boris Chain and Sir Howard Walter Florey"
1945,literature,Gabriela Mistral
1945,peace,Cordell Hull
1944,physics,Isidor Isaac Rabi
1944,chemistry,Otto Hahn
1944,medicine,Joseph Erlanger and Herbert Spencer Gasser
1944,literature,Johannes Vilhelm Jensen
1944,peace,Comité international de la Croix Rouge (International Committee of the Red Cross) 
1943,physics,Otto Stern
1943,chemistry,George de Hevesy
1943,medicine,Henrik Carl Peter Dam
1943,medicine,Edward Adelbert Doisy
1939,physics,Ernest Orlando Lawrence
1939,chemistry,Adolf Friedrich Johann Butenandt
1939,chemistry,Leopold Ruzicka
1939,medicine,Gerhard Domagk
1939,literature,Frans Eemil Sillanpää
1938,physics,Enrico Fermi
1938,chemistry,Richard Kuhn
1938,medicine,Corneille Jean François Heymans
1938,literature,Pearl Buck
1938,peace,Office international Nansen pour les Réfugiés (Nansen International Office for Refugees) 
1937,physics,Clinton Joseph Davisson and George Paget Thomson
1937,chemistry,Walter Norman Haworth
1937,chemistry,Paul Karrer
1937,medicine,Albert von Szent-Györgyi Nagyrápolt
1937,literature,Roger Martin du Gard
1937,peace,"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)"
1936,physics,Victor Franz Hess
1936,physics,Carl David Anderson
1936,chemistry,Petrus (Peter) Josephus Wilhelmus Debye
1936,medicine,Sir Henry Hallett Dale and Otto Loewi
1936,literature,Eugene Gladstone O'Neill
1936,peace,Carlos Saavedra Lamas
1935,physics,James Chadwick
1935,chemistry,Frédéric Joliot and Irène Joliot-Curie
1935,medicine,Hans Spemann
1935,peace,Carl von Ossietzky
1934,chemistry,Harold Clayton Urey
1934,medicine,"George Hoyt Whipple, George Richards Minot and William Parry Murphy"
1934,literature,Luigi Pirandello
1934,peace,Arthur Henderson
1933,physics,Erwin Schrödinger and Paul Adrien Maurice Dirac
1933,medicine,Thomas Hunt Morgan
1933,literature,Ivan Alekseyevich Bunin
1933,peace,Sir Norman Angell (Ralph Lane)
1932,physics,Werner Karl Heisenberg
1932,chemistry,Irving Langmuir
1932,medicine,Sir Charles Scott Sherrington and Edgar Douglas Adrian
1932,literature,John Galsworthy
1931,chemistry,Carl Bosch and Friedrich Bergius
1931,medicine,Otto Heinrich Warburg
1931,literature,Erik Axel Karlfeldt
1931,peace,Jane Addams
1931,peace,Nicholas Murray Butler
1930,physics,Sir Chandrasekhara Venkata Raman
1930,chemistry,Hans Fischer
1930,medicine,Karl Landsteiner
1930,literature,Sinclair Lewis
1930,peace,Lars Olof Jonathan (Nathan) Söderblom
1929,physics,Prince Louis-Victor Pierre Raymond de Broglie
1929,chemistry,Arthur Harden and Hans Karl August Simon von Euler-Chelpin
1929,medicine,Christiaan Eijkman
1929,medicine,Sir Frederick Gowland Hopkins
1929,literature,Thomas Mann
1929,peace,Frank Billings Kellogg
1928,physics,Owen Willans Richardson
1928,chemistry,Adolf Otto Reinhold Windaus
1928,medicine,Charles Jules Henri Nicolle
1928,literature,Sigrid Undset
1927,physics,Arthur Holly Compton
1927,physics,Charles Thomson Rees Wilson
1927,chemistry,Heinrich Otto Wieland
1927,medicine,Julius Wagner-Jauregg
1927,literature,Henri Bergson
1927,peace,Ferdinand Buisson
1927,peace,Ludwig Quidde
1926,physics,Jean Baptiste Perrin
1926,chemistry,The (Theodor) Svedberg
1926,medicine,Johannes Andreas Grib Fibiger
1926,literature,Grazia Deledda
1926,peace,Aristide Briand
1926,peace,Gustav Stresemann
1925,physics,James Franck and Gustav Ludwig Hertz
1925,chemistry,Richard Adolf Zsigmondy
1925,literature,George Bernard Shaw
1925,peace,Sir Austen Chamberlain
1925,peace,Charles Gates Dawes
1924,physics,Karl Manne Georg Siegbahn
1924,medicine,Willem Einthoven
1924,literature,Wladyslaw Stanislaw Reymont
1923,physics,Robert Andrews Millikan
1923,chemistry,Fritz Pregl
1923,medicine,Frederick Grant Banting and John James Rickard Macleod
1923,literature,William Butler Yeats
1922,physics,Niels Henrik David Bohr
1922,chemistry,Francis William Aston
1922,medicine,Archibald Vivian Hill
1922,medicine,Otto Fritz Meyerhof
1922,literature,Jacinto Benavente
1922,peace,Fridtjof Nansen
1921,physics,Albert Einstein
1921,chemistry,Frederick Soddy
1921,literature,Anatole France
1921,peace,Karl Hjalmar Branting
1921,peace,Christian Lous Lange
1920,physics,Charles Edouard Guillaume
1920,chemistry,Walther Hermann Nernst
1920,medicine,Schack August Steenberg Krogh
1920,literature,Knut Pedersen Hamsun
1920,peace,Léon Victor Auguste Bourgeois
1919,physics,Johannes Stark
1919,medicine,Jules Bordet
1919,literature,Carl Friedrich Georg Spitteler
1919,peace,Thomas Woodrow Wilson
1918,physics,Max Karl Ernst Ludwig Planck
1918,chemistry,Fritz Haber
1917,physics,Charles Glover Barkla
1917,literature,Karl Adolph Gjellerup
1917,literature,Henrik Pontoppidan
1917,peace,Comité international de la Croix Rouge (International Committee of the Red Cross) 
1916,literature,Carl Gustaf Verner von Heidenstam
1915,physics,Sir William Henry Bragg and William Lawrence Bragg
1915,chemistry,Richard Martin Willstätter
1915,literature,Romain Rolland
1914,physics,Max von Laue
1914,chemistry,Theodore William Richards
1914,medicine,Robert Bárány
1913,physics,Heike Kamerlingh Onnes
1913,chemistry,Alfred Werner
1913,medicine,Charles Robert Richet
1913,literature,Rabindranath Tagore
1913,peace,Henri La Fontaine
1912,physics,Nils Gustaf Dalén
1912,chemistry,Victor Grignard
1912,chemistry,Paul Sabatier
1912,medicine,Alexis Carrel
1912,literature,Gerhart Johann Robert Hauptmann
1912,peace,Elihu Root
1911,physics,Wilhelm Wien
1911,chemistry,"Marie Curie, née Sklodowska"
1911,medicine,Allvar Gullstrand
1911,literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck
1911,peace,Tobias Michael Carel Asser
1911,peace,Alfred Hermann Fried
1910,physics,Johannes Diderik van der Waals
1910,chemistry,Otto Wallach
1910,medicine,Albrecht Kossel
1910,literature,Paul Johann Ludwig Heyse
1910,peace,Bureau international permanent de la Paix (Permanent International Peace Bureau) 
1909,physics,Guglielmo Marconi and Karl Ferdinand Braun
1909,chemistry,Wilhelm Ostwald
1909,medicine,Emil Theodor Kocher
1909,literature,Selma Ottilia Lovisa Lagerlöf
1909,peace,Auguste Marie François Beernaert
1909,peace,"Paul Henri Benjamin Balluet d'Estournelles de Constant, Baron de Constant de Rebecque"
1908,physics,Gabriel Lippmann
1908,chemistry,Ernest Rutherford
1908,medicine,Ilya Ilyich Mechnikov and Paul Ehrlich
1908,literature,Rudolf Christoph Eucken
1908,peace,Klas Pontus Arnoldson
1908,peace,Fredrik Bajer
1907,physics,Albert Abraham Michelson
1907,chemistry,Eduard Buchner
1907,medicine,Charles Louis Alphonse Laveran
1907,literature,Rudyard Kipling
1907,peace,Ernesto Teodoro Moneta
1907,peace,Louis Renault
1906,physics,Joseph John Thomson
1906,chemistry,Henri Moissan
1906,medicine,Camillo Golgi and Santiago Ramón y Cajal
1906,literature,Giosuè Carducci
1906,peace,Theodore Roosevelt
1905,physics,Philipp Eduard Anton von Lenard
1905,chemistry,Johann Friedrich Wilhelm Adolf von Baeyer
1905,medicine,Robert Koch
1905,literature,Henryk Sienkiewicz
1905,peace,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau"
1904,physics,Lord Rayleigh (John William Strutt)
1904,chemistry,Sir William Ramsay
1904,medicine,Ivan Petrovich Pavlov
1904,literature,Frédéric Mistral
1904,literature,José Echegaray y Eizaguirre
1904,peace,Institut de droit international (Institute of International Law) 
1903,physics,Antoine Henri Becquerel
1903,physics,"Pierre Curie and Marie Curie, née Sklodowska"
1903,chemistry,Svante August Arrhenius
1903,medicine,Niels Ryberg Finsen
1903,literature,Bjørnstjerne Martinus Bjørnson
1903,peace,William Randal Cremer
1902,physics,Hendrik Antoon Lorentz and Pieter Zeeman
1902,chemistry,Hermann Emil Fischer
1902,medicine,Ronald Ross
1902,literature,Christian Matthias Theodor Mommsen
1902,peace,Élie Ducommun
1902,peace,Charles Albert Gobat
1901,physics,Wilhelm Conrad Röntgen
1901,chemistry,Jacobus Henricus van 't Hoff
1901,medicine,Emil Adolf von Behring
1901,literature,Sully Prudhomme
1901,peace,Jean Henry Dunant
1901,peace,Frédéric Passy
